Gene,Value
NXT1,0.596617098
CST3,9.881851441
NSFL1C,1.21450191
FKBP1A,11.582378
SRXN1,0.639291376
CSNK2A1,0.357119093
TBC1D20,0.486356312
RBCK1,0.45959943
TRIB3,1.275804968
H13,4.007817464
ID1,4.236536289
BCL2L1,0.629283214
ASXL1,0.413199186
COMMD7,0.671400057
MAPRE1,2.467800296
CHMP4B,6.766551071
RALY,3.555758331
EIF2S2,8.679457477
ITCH,0.418589325
DYNLRB1,0.685589963
MAP1LC3A,1.242253101
TRPC4AP,0.391010163
PROCR,1.775871056
EIF6,4.739200134
ERGIC3,1.09640174
ROMO1,0.770524401
RBM39,8.548766068
PHF20,0.301637235
SCAND1,1.394023439
2900097C17RIK,0.87320619
AAR2,0.385506482
DLGAP4,0.759887335
1110008F13RIK,1.01985997
SAMHD1,0.786935314
RPN2,0.945132987
MANBAL,0.71416584
BLCAP,0.345776614
TGM2,4.661227921
LBP,4.409576098
PPP1R16B,0.797283991
MAFB,1.431490036
TOP1,3.635634248
CHD6,0.301986238
SRSF6,1.841217752
OSER1,1.377753745
TTPAL,0.331534219
SERINC3,6.626077137
PKIG,3.761874065
YWHAB,3.493142976
TOMM34,0.308862221
SDC4,0.647547296
SYS1,1.489466729
PIGT,0.415458685
DNTTIP1,0.468420076
CTSA,0.361480658
PLTP,0.795875241
PCIF1,0.560003713
CD40,0.802663932
NCOA3,0.454890093
STAU1,0.453982728
DDX27,0.747078886
ZNFX1,0.792118368
PTGIS,0.506044544
B4GALT5,0.96056948
RNF114,0.485909301
SNAI1,0.870309738
CEBPB,10.28487731
PTPN1,6.829569814
DPM1,0.433618981
TSHZ2,1.904839445
PFDN4,0.348446406
RTF2,0.55080229
RAE1,0.511229857
ZBP1,0.784338637
PMEPA1,5.769891006
RAB22A,0.658587793
VAPB,0.669110442
STX16,0.365378927
GNAS,11.65719988
CTSZ,1.041041925
ATP5E,4.343700984
PRELID3B,0.637084106
PSMA7,4.36171323
ADRM1,1.850455734
RPS21,17.11127987
OGFR,1.798190715
DIDO1,0.426559996
GID8,0.357415583
YTHDF1,0.863786053
PPDPF,0.307538466
HELZ2,0.797461401
ARFRP1,0.657423488
TPD52L2,2.115318582
DNAJC5,0.932233102
SOX18,3.003951393
RGS19,0.306163119
OTUD5,0.322097265
PQBP1,0.405160662
RBM3,9.821897728
EBP,0.519433646
DYNLT3,0.627893232
BCOR,0.490193782
ATP6AP2,1.791836983
USP9X,0.895731113
DDX3X,2.679984647
MAOA,0.373919455
NDUFB11,2.314282096
UBA1,0.961470032
CDK16,0.308469783
TIMP1,1.949650642
IL13RA1,0.930759858
PGRMC1,0.802933403
SLC25A5,4.297497443
C330007P06RIK,0.302789482
UBE2A,1.364580937
RPL39,20.81212006
NDUFA1,1.528568572
LAMP2,3.139003872
MCTS1,0.332437513
C1GALT1C1,0.339243046
THOC2,0.69233296
XIAP,2.060393311
STAG2,0.483430952
UTP14A,0.407488492
RAP2C,0.307017151
HPRT,1.254020038
RTL8A,0.392514082
RTL8B,0.311370064
HTATSF1,0.339510718
ATP11C,0.31916629
FMR1,0.987960662
VMA21,0.757150058
CETN2,0.398332831
BGN,1.449390816
BCAP31,1.122581736
IDH3G,0.3581055
SSR4,2.601649609
RENBP,0.333755502
IRAK1,0.335379217
EMD,0.565059262
RPL10,12.85340469
ATP6AP1,0.823983704
DKC1,0.398507713
MPP1,0.351851102
F8,0.853333785
FUNDC2,0.950418207
VBP1,0.605413608
PLS3,1.03997501
TBL1X,0.334691192
PRKX,0.463046694
ZFX,0.643993773
EIF2S3X,0.431647718
MAGED1,1.471049556
LAS1L,0.364295979
MSN,6.3568832
IGBP1,0.525073081
NONO,0.814410175
TAF1,0.456202445
OGT,0.811666797
PIN4,0.520287498
RPS4X,32.59740119
XIST,1.134569111
RLIM,0.89230044
PBDC1,0.611472675
ATRX,1.144122127
COX7B,2.192148682
PGK1,1.860365026
ITM2A,0.504315864
HMGN5,0.460897692
SH3BGRL,0.902946074
CHM,0.339335779
DIAPH2,0.76431648
TIMM8A1,0.853399878
RPL36A,9.13668867
HNRNPH2,1.023558234
TCEAL8,0.814641493
TCEAL9,2.355571263
BEX3,0.810986216
MORF4L2,1.647635863
TSC22D3,0.342356749
ACSL4,0.323714116
TSR2,0.342806322
HUWE1,1.365238567
HSD17B10,0.353509277
SMC1A,1.454509266
KDM5C,0.311820951
MAGEH1,0.407214382
NBDY,1.170730878
SAT1,6.865391141
ACOT9,0.806077097
PRDX4,0.57156129
RPS6KA3,2.381560691
EIF1AX,0.906704327
RBBP7,0.974209661
SYAP1,0.525388612
ZRSR2,1.172205971
PIR,0.492512133
MOSPD2,0.315032007
RAB9,1.030677834
TMSB4X,63.97500281
ARHGAP6,0.38855937
HCCS,0.331543617
MID1,0.371897735
GM8797,1.233233857
MRPS28,0.555785446
TPD52,0.308520159
FABP4,1.602282035
1810022K09RIK,1.214279197
YTHDF3,0.346643498
ARMC1,0.531215717
CP,2.913733766
TNFSF10,1.056057743
FNDC3B,1.013690462
RPL22L1,8.495665928
SEC62,2.745958783
SKIL,2.955762237
ZFP639,0.427032875
GNB4,0.642570205
ACTL6A,0.885711718
NDUFB5,2.005169992
TTC14,1.150852974
FXR1,1.097129174
DNAJC19,0.891177819
ATP11B,0.303868825
DCUN1D1,0.469340075
ANXA5,3.469205366
4932438A13RIK,0.574864486
HSPA4L,0.327467144
LARP1B,0.562492019
SLC7A11,0.612068761
NOCT,1.179213257
ELF2,1.360162106
NDUFC1,0.689833198
NAA15,0.761711174
FOXO1,1.098227679
UFM1,1.237212346
POSTN,2.116369132
EXOSC8,0.403522578
RFXAP,0.429579798
TM4SF1,116.4763723
WWTR1,5.902693463
COMMD2,0.539895145
RNF13,0.615249503
TSC22D2,0.756888637
SERP1,0.716017304
EIF2A,0.624340218
SELENOT,0.978316612
SIAH2,0.846316403
MBNL1,2.682018374
RAP2B,0.393996623
DHX36,1.006952277
GMPS,0.501331569
SSR3,1.444560537
TIPARP,6.374635725
CCNL1,2.175927903
LXN,0.511427966
KPNA4,0.612224271
NMD3,0.903254551
PDCD10,2.440276229
GOLIM4,0.577156777
PPID,0.963039199
GRIA2,0.310751288
TLR2,1.077671804
RPS3A1,37.85619189
ETV3,0.431506101
PEAR1,0.305260052
HDGF,1.491831435
MRPL24,0.837189559
ISG20L2,0.409105315
GPATCH4,0.303011535
NAXE,0.3041932
MEF2D,0.486241187
CCT3,2.061356502
GLMP,0.414772313
LMNA,27.18924141
LAMTOR2,0.510882094
SSR2,1.935576207
ARHGEF2,0.326476518
2810403A07RIK,0.662711683
RIT1,0.533323706
DAP3,0.351203279
ASH1L,0.994440399
SCAMP3,0.368279846
KRTCAP2,1.194068688
DPM3,0.544011426
SLC50A1,0.541628786
EFNA1,1.435869964
ADAM15,1.029056662
SHC1,0.509380028
ADAR,0.435317431
UBE2Q1,0.46832314
SHE,0.516736731
HAX1,0.867754106
UBAP2L,0.921741132
